UserID,Review_Text,Date,NumberOfVisit,Satisfaction,Taste Positive,Taste Negative,Service,Price
ouoq,맛있고 친절하셔요 역시 호텔신라,2022년 11월 5일 토요일,1번째 방문,긍정,['-'],['-'],긍정,-
요즘남자,맛있어요,2023년 9월 26일 화요일,1번째 방문,긍정,['음식 없음'],['음식 없음'],긍정,-
정글레오,사람이 너무 많아서 줄 서 다가 음식이 식어요,2022년 12월 4일 일요일,1번째 방문,부정,['-'],['-'],부정,-
토끼4391,안심스테이크 정말 부드러워요,2022년 10월 29일 토요일,1번째 방문,긍정,['안심스테이크'],['-'],긍정,-
미미3358,분위기도 괜찮고 서비스도 매우 좋아요 음식도 다 괜찮은 편이에 요 화장실이 너무 작은 게 흠이에 요,2022년 10월 14일 금요일,1번째 방문,부정,-,-,긍정,-
G 02,전체적으로 음식에 대한 만족도는 꽤 높습니다 다 만 가격 대비 적정한가에 대해서는 좀 의 문입니다 중식을 많이 기대했는데 기대에 못 미쳤고 스시 코너도 빈약한 감이 있습니다 테이블에 인원마다 주시는 수프는 정말 맛 있었도 특히 디저트 류가 맛있습니다 배 부른 상태인데도 레몬 케이크는 베스트였어요 또 직원 분들이 친절하셔서 인상 깊었습니다,2022년 4월 18일 월요일,1번째 방문,부정,['음식 없음'],['중식/스시'],부정,-
김맥주,중식류가 유명한 걸 뒤늦게 알아서 아쉬웠던 파크뷰 서비스가 친절하고 육류가 다양합니다,2022년 9월 8일 목요일,1번째 방문,긍정,-,-,긍정,-
유아쏘뷰티풀,스테이크는 오늘은 맛있어요 파크뷰는 대게 맛집 가격이 올라서 솔직히 155만 원 대비 가성비는 이 젠 별로 인 것 같아 요 발레할 경우에만 주차 편해요 비 오는 오늘 같은 경우 발레 안 했음,2022년 7월 31일 일요일,1번째 방문,부정,['스테이크'],['음식 없음'],부정,부정
히히히히히6,진짜 맛있었고 기념일로 가기도 좋아요,2022년 9월 17일 토요일,1번째 방문,긍정,['음식 없음'],['음식 없음'],긍정,긍정
갬갱,매장 안에 화장실이 2개밖에 없어서 좀 오래 기 다림 직원들은 친절했으나 사람이 많음,2022년 10월 10일 월요일,1번째 방문,부정,-,-,부정,-
two****,좋아요,2023년 2월 12일 일요일,1번째 방문,긍정,['음식 없음'],['음식 없음'],긍정,긍정
소소한영수증,직원 분들 친절하고 음식 깔끔하고 좋아요,2022년 7월 25일 월요일,1번째 방문,긍정,['음식 없음'],['음식 없음'],긍정,-
인헌동당그니,마시어 용 근데 제주보단 덜한 듯 제주는 전복도 있는데 저의 최애 메뉴는 해삼 주스 스시 치즈 초코 따끈한 디저트 이름 모름 그 외의 중 식도 훌륭하고 워낙 유명하지요 파스타도 맛있어요,2022년 5월 20일 금요일,1번째 방문,긍정,"['해삼 주스', '치즈', '초코', '따끈한 디저트', '파스타']",['음식 없음'],긍정,-
먹깨비깨비16,디저트와 과일 먹으러 가는데 계절에 따라 과일이 차이가 있음 가성비가 좋다고 말하긴 어려움 주차장 발레 안 하면 사용 불편 등산해야 함중식 좋고 디저트 과일이 좋음 직원들이 내부 정리를 조용히 잘해줌 인원이 많아도 시장 같지 않게 정리해 주는 게 신라의 장점,2022년 4월 9일 토요일,1번째 방문,긍정,['과일'],['음식 없음'],긍정,-
siri1989,친구 생일에 맞춰 처음 방문했어요 맛있다는 후기가 많아서 엄청 기대하고 갔죠 평소에도 뷔페는 그다지 선호하는 편이 아녔는데 역시나 여기도 그냥 저냥 다양하게 맛 볼 수 있는 건 너무 좋았는데 해산물 중 새우 먹다가 비린 뒤로는 입맛이 싹 사라졌어요 그렇다고 안 먹은 건 아닌데 무얼 먹더라도 맛있다고 느껴지지 않아서 아쉬웠네요 아 그렇지만 양고기와 버섯 수프 는 진짜 맛있었어요 양고기 진짜 냄새 0,2022년 3월 18일 금요일,1번째 방문,부정,"['양고기', '버섯 수프']",['새우'],부정,-
sj5****,양 갈비가 제일 맛있어요 La갈비 맛있었는데 없어져서 아쉬워요 주말에 1부는 시간이 촉박해요 2시간이라서 대화 나누면서 충분히 먹기에는 부족하고 30분 정도 더 있으면 좋겠어요,2022년 9월 18일 일요일,1번째 방문,부정,['양 갈비'],['La갈비'],부정,-
마츠코,가격 오르고 가성비 떨어진다는 데 처음 와본 사람으로서 이전에 어땠는지 모르겠지만 인터넷 후기에서 보던 와플도 없고 뭐 없는 게 너무 많아서 직원 분들만 친절했어요 처음엔 하나씩만 맛 좀 보자 했는데 그냥 나중엔 먹을 게 없다 날까 왤까요 배가 찢어져서 못 먹겠다 라기 보다 조금 사실적으로 아웃백 파크뷰 빕스 느낌이에요 와플 왜 없었나요,2022년 8월 24일 수요일,1번째 방문,부정,['와플'],['와플'],부정,부정
디기디기디기갱갱,가격은 있지만 특별한 날 가기 좋아요 개인적으로 해산물보다는 디저트 육류 순으로 맛있었습니다,2022년 10월 10일 월요일,1번째 방문,긍정,"['디저트', '육류']",['해산물'],긍정,긍정
캠퍼필즈,음식이 다양하고 전반적으로 다 맛있어요 무엇보다 다들 친절하고 서비스가 너무 좋아요,2022년 6월 18일 토요일,1번째 방문,긍정,['음식 없음'],['음식 없음'],긍정,-
youjin727,사람이 너무 많았지만 맛있게 잘 먹고 왔어요,2023년 1월 15일 일요일,1번째 방문,긍정,['-'],['-'],긍정,-
